Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
3165008,São Tiago (MG),206655.0,13229.0,53814.0,24818.0,67439.0,47355.0
3165107,São Tomás de Aquino (MG),166097.0,7856.0,62508.0,9573.0,49727.0,36433.0
3165206,São Tomé das Letras (MG),113354.0,5690.0,26300.0,6805.0,41611.0,32949.0
3165305,São Vicente de Minas (MG),182180.0,15156.0,40197.0,30714.0,59573.0,36540.0
3165404,Sapucaí-Mirim (MG),109550.0,7054.0,11250.0,12373.0,46617.0,32256.0
3165503,Sardoá (MG),64095.0,2898.0,6522.0,2770.0,21475.0,30431.0
3165537,Sarzedo (MG),1168386.0,125313.0,2420.0,505568.0,367201.0,167885.0
3165552,Setubinha (MG),103551.0,2694.0,28702.0,2081.0,21574.0,48499.0
3165560,Sem-Peixe (MG),33584.0,1082.0,5754.0,2488.0,8961.0,15299.0
3165578,Senador Amaral (MG),76931.0,3627.0,13906.0,3497.0,27494.0,28406.0
3165602,Senador Cortes (MG),35018.0,1859.0,4334.0,3470.0,10982.0,14373.0
3165701,Senador Firmino (MG),100414.0,5669.0,7600.0,9384.0,41395.0,36365.0
3165800,Senador José Bento (MG),28434.0,793.0,7555.0,946.0,7429.0,11711.0
3165909,Senador Modestino Gonçalves (MG),86627.0,2034.0,44207.0,3625.0,14300.0,22461.0
3166006,Senhora de Oliveira (MG),74939.0,2960.0,13356.0,1960.0,29355.0,27309.0
3166105,Senhora do Porto (MG),40533.0,1025.0,9398.0,1885.0,9084.0,19141.0
3166204,Senhora dos Remédios (MG),101648.0,3667.0,15050.0,9654.0,29546.0,43732.0
3166303,Sericita (MG),113569.0,3354.0,43259.0,7802.0,27076.0,32076.0
3166402,Seritinga (MG),42469.0,2329.0,8836.0,4024.0,13225.0,14055.0
3166501,Serra Azul de Minas (MG),38462.0,1044.0,5228.0,1371.0,9118.0,21701.0
3166600,Serra da Saudade (MG),21055.0,555.0,5970.0,908.0,4249.0,9373.0
3166709,Serra dos Aimorés (MG),81457.0,3734.0,9754.0,3780.0,26801.0,37387.0
3166808,Serra do Salitre (MG),608894.0,25085.0,271047.0,104070.0,142591.0,66102.0
3166907,Serrania (MG),143795.0,9234.0,29001.0,22468.0,48829.0,34263.0
3166956,Serranópolis de Minas (MG),40309.0,1127.0,4728.0,1630.0,8294.0,24530.0
3167004,Serranos (MG),32728.0,881.0,10404.0,735.0,8339.0,12369.0
3167103,Serro (MG),271969.0,17113.0,25002.0,10749.0,127218.0,91888.0
3167202,Sete Lagoas (MG),9250195.0,1538163.0,30007.0,2675875.0,3812085.0,1194065.0
3167301,Silveirânia (MG),32338.0,935.0,5718.0,1267.0,9033.0,15386.0
3167400,Silvianópolis (MG),132786.0,7533.0,31264.0,21669.0,42103.0,30217.0
3167509,Simão Pereira (MG),103644.0,3170.0,3931.0,61206.0,15686.0,19651.0
3167608,Simonésia (MG),246323.0,14583.0,55647.0,9614.0,83760.0,82719.0
3167707,Sobrália (MG),60387.0,1712.0,8065.0,2208.0,19907.0,28495.0
3167806,Soledade de Minas (MG),73626.0,2628.0,14172.0,4080.0,23453.0,29294.0
3167905,Tabuleiro (MG),62893.0,4431.0,6270.0,9497.0,22602.0,20092.0
3168002,Taiobeiras (MG),506131.0,32914.0,51623.0,39422.0,228803.0,153370.0
3168051,Taparuba (MG),44211.0,1579.0,9779.0,1781.0,11435.0,19637.0
3168101,Tapira (MG),594223.0,58107.0,93011.0,300842.0,99180.0,43082.0
3168200,Tapiraí (MG),48817.0,1024.0,23667.0,1586.0,8688.0,13851.0
3168309,Taquaraçu de Minas (MG),58730.0,3229.0,5976.0,4166.0,20968.0,24390.0
3168408,Tarumirim (MG),166851.0,7364.0,21323.0,7730.0,66143.0,64291.0
3168507,Teixeiras (MG),161628.0,8060.0,21379.0,15885.0,64619.0,51685.0
3168606,Teófilo Otoni (MG),2800905.0,237363.0,72372.0,367744.0,1514124.0,609303.0
3168705,Timóteo (MG),3640419.0,526547.0,1061.0,1321308.0,1376685.0,414818.0
3168804,Tiradentes (MG),170089.0,9561.0,5676.0,16309.0,97354.0,41188.0
3168903,Tiros (MG),291108.0,23861.0,103533.0,46512.0,81541.0,35661.0
3169000,Tocantins (MG),307419.0,26140.0,34033.0,37548.0,136451.0,73248.0
3169059,Tocos do Moji (MG),61319.0,2489.0,17810.0,2581.0,16997.0,21442.0
3169109,Toledo (MG),82580.0,5526.0,9174.0,7005.0,30830.0,30047.0
3169208,Tombos (MG),113907.0,6447.0,14331.0,4285.0,51275.0,37570.0
3169307,Três Corações (MG),2609378.0,347943.0,230300.0,608099.0,1068297.0,354740.0
3169356,Três Marias (MG),2954764.0,406592.0,82708.0,1597059.0,694817.0,173588.0
3169406,Três Pontas (MG),1558268.0,189192.0,147670.0,255770.0,706159.0,259476.0
